instnm,city,stabbr,preddeg,region,locale,adm_rate,actcmmid,ugds,costt4_a,costt4_p,tuitionfee_in,tuitionfee_out,debt_mdn,grad_debt_mdn,female
Omega Studios' School of Applied Recording Arts & Sciences,Rockville,MD,Certificate Degree,Mid East,Suburb: Large,NA,NA,103,NA,42508,NA,NA,5500,5500,NA
Focus-Hope Information Technologies Center,Detroit,MI,Certificate Degree,Great Lakes,City: Large,NA,NA,33,NA,NA,NA,NA,NA,NA,NA
International Cosmetology Academy,Grand Rapids,MI,Certificate Degree,Great Lakes,City: Midsize,NA,NA,29,NA,23894,NA,NA,8200,16500,NA
French Academy of Cosmetology,Spring Lake,MI,Certificate Degree,Great Lakes,Suburb: Midsize,NA,NA,45,NA,NA,NA,NA,4223,4984.5,NA
Healing Arts Center,St. Louis,MO,Certificate Degree,Plains,Suburb: Large,NA,NA,108,NA,NA,NA,NA,6365,6365,0.797385621
Paul Mitchell the School-Springfield,Springfield,MO,Certificate Degree,Plains,City: Midsize,NA,NA,108,NA,19103,NA,NA,9500,10863,NA
Urshan Graduate School of Theology,Florissant,MO,Entirely Graduate Degree,Plains,Suburb: Large,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Mississippi Institute of Aesthetics Nails & Cosmetology,Clinton,MS,Certificate Degree,Southeast,Suburb: Large,NA,NA,60,NA,10868,NA,NA,6224,6224,NA
College of Western Idaho,Nampa,ID,Associate Degree,Rocky Mountains,Rural: Fringe,NA,NA,6641,10569,NA,3336,7344,4500,9322,0.571780653
Aveda Institute-Chapel Hill,Chapel Hill,NC,Certificate Degree,Southeast,City: Small,NA,NA,254,NA,22626,NA,NA,8034,9833,0.966480447
Daoist Traditions College of Chinese Medical Arts,Asheville,NC,Entirely Graduate Degree,Southeast,City: Small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Total Image Beauty Academy,Union City,NJ,Certificate Degree,Mid East,Suburb: Large,NA,NA,263,NA,15676,NA,NA,5250,7000,0.859589041
Jersey College,Teterboro,NJ,Associate Degree,Mid East,Suburb: Large,0.6514,NA,2968,NA,27643,NA,NA,16010,21000,0.892441861
American Institute of Medical Sciences & Education,Piscataway,NJ,Certificate Degree,Mid East,Suburb: Large,NA,NA,406,NA,NA,NA,NA,10825,12000,0.886462882
Casal Institute of Nevada,Las Vegas,NV,Certificate Degree,Far West,City: Midsize,1,NA,184,NA,17712,NA,NA,9500,10105.5,0.960629921
Career School of NY,Staten Island,NY,Certificate Degree,Mid East,City: Large,NA,NA,41,NA,12762,NA,NA,6222,6222,NA
