instnm,city,stabbr,preddeg,region,locale,adm_rate,actcmmid,ugds,costt4_a,costt4_p,tuitionfee_in,tuitionfee_out,debt_mdn,grad_debt_mdn,female
Waldorf University,Forest City,IA,Bachelor Degree,Plains,Town: Remote,0.7185,20,2053,32847,NA,21664,21664,10036.5,17187,0.443698732
Wartburg College,Waverly,IA,Bachelor Degree,Plains,Town: Distant,0.769,24,1493,50153,NA,39730,39730,23250,27000,0.541411043
Wartburg Theological Seminary,Dubuque,IA,Entirely Graduate Degree,Plains,City: Small,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
The Salon Professional Academy-Cedar Falls,Cedar Falls,IA,Certificate Degree,Plains,City: Small,NA,NA,48,NA,13484,NA,NA,6838,NA,0.488888889
Western Iowa Tech Community College,Sioux City,IA,Certificate Degree,Plains,City: Small,NA,NA,3110,12396,NA,4200,4224,5500,9725,0.554477283
William Penn University,Oskaloosa,IA,Bachelor Degree,Plains,Town: Remote,0.5379,19,1184,35896,NA,25000,25000,14750,25000,0.411564626
Allen County Community College,Iola,KS,Associate Degree,Plains,Town: Remote,NA,NA,2423,11068,NA,3584,3584,3750,6966.5,0.63368669
Baker University,Baldwin City,KS,Bachelor Degree,Plains,Town: Fringe,0.8571,23,1465,41870,NA,28960,28960,19500,24503,0.599246231
Barton County Community College,Great Bend,KS,Associate Degree,Plains,Rural: Fringe,NA,NA,2180,14399,NA,3456,3456,5250,5834,0.596774194
Benedictine College,Atchison,KS,Bachelor Degree,Plains,Town: Distant,0.9747,25,1826,42066,NA,28480,28480,20053,27000,0.498098859
Bethany College,Lindsborg,KS,Bachelor Degree,Plains,Town: Remote,0.6664,21,710,41886,NA,26922,26922,10729,25000,0.340292276
Bethel College-North Newton,North Newton,KS,Bachelor Degree,Plains,Town: Distant,0.5576,NA,503,40299,NA,27720,27720,15000,22919,0.472891566
Bryan University,Topeka,KS,Associate Degree,Plains,City: Midsize,NA,NA,34,25070,NA,15400,15400,12667,20000,0.643564356
Butler Community College,El Dorado,KS,Associate Degree,Plains,Town: Distant,NA,NA,7266,12343,NA,2940,5070,5500,11000,0.596389725
Central Christian College of Kansas,McPherson,KS,Bachelor Degree,Plains,Town: Remote,0.3933,20,768,28652,NA,17240,17240,10959,25000,0.47734139
Cloud County Community College,Concordia,KS,Associate Degree,Plains,Rural: Fringe,NA,NA,1080,10248,NA,3030,3270,5500,8000,0.625144175
Coffeyville Community College,Coffeyville,KS,Associate Degree,Plains,Town: Remote,NA,NA,1044,9773,NA,2304,3872,5171,6500,0.376195537
Colby Community College,Colby,KS,Associate Degree,Plains,Town: Remote,NA,NA,799,12786,NA,3450,5130,5540.5,9073.5,0.743333333
Cowley County Community College,Arkansas City,KS,Associate Degree,Plains,Town: Distant,NA,NA,2697,12961,NA,2945,4712,4750,8000,0.598489616
Dodge City Community College,Dodge City,KS,Associate Degree,Plains,Town: Remote,NA,NA,1103,11396,NA,2130,3510,5675,8750,0.414481898
Donnelly College,Kansas City,KS,Certificate Degree,Plains,City: Midsize,NA,NA,294,14829,NA,7140,7140,6541,8250,0.808035714
Emporia State University,Emporia,KS,Bachelor Degree,Plains,Town: Remote,0.8275,22,3499,18154,NA,6345,19918,12500,18568,0.627705628
Flint Hills Technical College,Emporia,KS,Certificate Degree,Plains,Town: Remote,NA,NA,397,19085,NA,6040,6040,8480,9500,0.48
Fort Hays State University,Hays,KS,Bachelor Degree,Plains,Town: Remote,0.8862,NA,12174,16753,NA,5009,14832,12500,20000,0.636003726
Barclay College,Haviland,KS,Bachelor Degree,Plains,Rural: Remote,0.6697,NA,224,28990,NA,17720,17720,15200,22207.5,0.444444444
Friends University,Wichita,KS,Bachelor Degree,Plains,City: Large,0.4801,22,1110,38141,NA,27565,27565,18979,25000,0.552262091
Fort Scott Community College,Fort Scott,KS,Certificate Degree,Plains,Town: Remote,NA,NA,1137,10525,NA,2820,4590,5500,8717,0.477348066
Garden City Community College,Garden City,KS,Associate Degree,Plains,Town: Remote,NA,NA,1516,12256,NA,3072,3680,4903,6606,0.438580528
Haskell Indian Nations University,Lawrence,KS,Bachelor Degree,Plains,City: Small,0.8157,18,806,8958,NA,480,480,NA,NA,0.527577938
Hays Academy of Hair Design,Hays,KS,Certificate Degree,Plains,Town: Remote,NA,NA,56,NA,17683,NA,NA,9776,9833,NA
Hesston College,Hesston,KS,Associate Degree,Plains,Town: Distant,NA,NA,439,38138,NA,26318,26318,12000,12959,0.578313253
Highland Community College,Highland,KS,Certificate Degree,Plains,Rural: Distant,NA,NA,1842,11596,NA,3057,3540,5500,9500,0.521551724
Hutchinson Community College,Hutchinson,KS,Associate Degree,Plains,Town: Distant,NA,NA,3739,12381,NA,3072,4384,5500,8732.5,0.575121163
Independence Community College,Independence,KS,Associate Degree,Plains,Town: Remote,NA,NA,577,10168,NA,3904,4320,3500,5720,0.375
Johnson County Community College,Overland Park,KS,Associate Degree,Plains,City: Midsize,NA,NA,11418,15852,NA,2790,6600,4000,7533,0.572891698
Concorde Career College-Kansas City,Kansas City,MO,Certificate Degree,Plains,City: Large,0.8538,NA,516,NA,27450,NA,NA,9500,9500,0.872982821
Kansas City Kansas Community College,Kansas City,KS,Certificate Degree,Plains,City: Midsize,NA,NA,4088,18372,NA,3248,8048,5950,8203,0.62528824
Kansas Christian College,Overland Park,KS,Associate Degree,Plains,City: Midsize,NA,NA,135,16981,NA,7640,7640,4750,NA,0.347457627
University of Kansas,Lawrence,KS,Bachelor Degree,Plains,City: Small,0.9338,26,18903,24824,NA,10824,26592,14275.5,20500,0.547597184
Newman University,Wichita,KS,Bachelor Degree,Plains,City: Large,0.6384,22,1103,35030,NA,29200,29200,15500,20257,0.726126126
Old Town Barber College-Wichita,Wichita,KS,Certificate Degree,Plains,City: Large,NA,NA,52,NA,19031,NA,NA,9833,13500,0.131578947
Kansas State University,Manhattan,KS,Bachelor Degree,Plains,City: Small,0.9412,NA,18171,23262,NA,10135,25492,17500,22500,0.520871143
Kansas Wesleyan University,Salina,KS,Bachelor Degree,Plains,Town: Remote,0.5365,22,671,41239,NA,28980,28980,12500,21000,0.424063116
Washburn Institute of Technology,Topeka,KS,Certificate Degree,Plains,City: Midsize,0.5007,NA,1377,14904,NA,6912,6912,12327,17069.5,0.591224863
Labette Community College,Parsons,KS,Associate Degree,Plains,Town: Remote,NA,NA,1566,11431,NA,2940,3690,5000,8271,0.684867395
Manhattan Area Technical College,Manhattan,KS,Certificate Degree,Plains,City: Small,NA,NA,480,16501,NA,6030,6030,8937,10500,0.479518072
Manhattan Christian College,Manhattan,KS,Bachelor Degree,Plains,City: Small,0.6432,22,282,27731,NA,15418,15418,10500,19625,0.425806452
McPherson College,McPherson,KS,Bachelor Degree,Plains,Town: Remote,0.4847,22,688,39634,NA,27823,27823,15000,26000,0.368181818
MidAmerica Nazarene University,Olathe,KS,Bachelor Degree,Plains,Suburb: Large,0.6562,21,1215,40179,NA,29670,29670,15000,18750,0.580683157
Neosho County Community College,Chanute,KS,Certificate Degree,Plains,Town: Remote,NA,NA,1174,14034,NA,4692,4692,5605,10268,0.680634202
